record_id,year,make,model,engine,oil_type,oil_capacity,oil_filter,transmission_fluid,source,additional_specs,verification_status,missing_fields,merge_key
fc71f77fabb8ed7f4b46533b,1999,BMW,318i,1.9,,,,,consolidated:year_make_model_json,"{""verification_status"":""incomplete"",""source_files"":""yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;oil_capacity;wix_filter;napa_gold_filter;stp_filter,1999|bmw|318i|19
7a82ccf3ae6726b109fc7475,1999,BMW,318is,1.9,,,,,consolidated:year_make_model_json,"{""verification_status"":""incomplete"",""source_files"":""yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;oil_capacity;wix_filter;napa_gold_filter;stp_filter,1999|bmw|318is|19
84fb4009046b6be60ad498ee,1999,Daewoo,Lanos,1.5,,,,,consolidated:year_make_model_json,"{""verification_status"":""incomplete"",""source_files"":""yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;oil_capacity;wix_filter;napa_gold_filter;stp_filter,1999|daewoo|lanos|15
0d47bb9f58c4db0f65311a06,2017,Mercedes Benz,C350E,Turbo 2.0,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2017|mercedesbenz|c350e|turbo20
f791c0bc5f50cbed34f48cac,2017,Mercedes Benz,C43 AMG,Turbo 3.0,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2017|mercedesbenz|c43amg|turbo30
ba0ebeaac549c9c6fdfeb7ac,2017,Mini,Cooper,Turbo 1.5,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2017|mini|cooper|turbo15
a8f42182e997828fb6192764,2017,Mini,Cooper,Turbo 2.0,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2017|mini|cooper|turbo20
75265f556c4efe267b3bb33d,2017,Mini,Cooper Clubman,Turbo 1.5,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2017|mini|cooperclubman|turbo15
84006cc030ae045911bc41e4,2017,Mini,Cooper Clubman,Turbo 2.0,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2017|mini|cooperclubman|turbo20
6d7dd080a6babab03350f930,2017,Porsche,Macan,Turbo 2.0,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2017|porsche|macan|turbo20
d3a4e67ec8ad7294ff34f498,2017,Volvo,V90 Cross Country,Turbo 2.0,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2017|volvo|v90crosscountry|turbo20
4b307426ca0d81c7891332a9,2020,BMW,M235l XDrive Gran Coupe,Turbo 2.0,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""oil_plug_torque"":""18 ft. lbs."",""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2020|bmw|m235lxdrivegrancoupe|turbo20
cbf6937cf9ac3505ac4fab5f,2020,Mercedes Benz,S560E,Turbo 3.0,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2020|mercedesbenz|s560e|turbo30
36dd533bcc0d78a27a11a980,2021,Audi,SQ5 Sportback,Turbo 3.0,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2021|audi|sq5sportback|turbo30
b30f25a163777a3836164048,2021,BMW,Alpina XB7,Turbo 4.4,,NaN liters with filter,,,consolidated:full_oil_filter_workbook,"{""verification_status"":""incomplete"",""source_files"":""fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv""}",incomplete,oil_type;wix_filter;napa_gold_filter;stp_filter,2021|bmw|alpinaxb7|turbo44
